Symbol,ExpirationDate,AskPrice,AskSize,BidPrice,BidSize,LastPrice,PutCall,StrikePrice,Volume,ImpliedVolatility,Delta,Gamma,Vega,Rho,OpenInterest,UnderlyingPrice,DataDate
AAPL,06/2/17,0.02,,0,,0.04,put,122,0,1.7029,-0.0046,0.0983,0.107,,81,153.18,06/1/17
AAPL,06/2/17,0.02,,0,,0.09,put,109,0,2.4536,-0.0032,0.0501,0.0786,,14,153.18,06/1/17
AAPL,06/2/17,0.23,,0.19,,0.23,put,152.5,18463,0.1566,-0.2914,27.4068,2.7423,,17502,153.18,06/1/17
AAPL,06/2/17,0.02,,0,,0.06,put,118,0,1.9257,-0.0041,0.078,0.096,,50,153.18,06/1/17
AAPL,06/2/17,4.55,,4.1,,4.5,put,157.5,482,0.462,-0.8731,5.6324,1.6626,,1821,153.18,06/1/17
AAPL,06/2/17,0.02,,0,,0.04,put,117,0,1.9836,-0.004,0.0742,0.094,,52,153.18,06/1/17
AAPL,06/2/17,2.03,,1.8,,1.93,put,155,3528,0.2551,-0.8106,13.2819,2.165,,8697,153.18,06/1/17
AAPL,06/2/17,12.25,,11.6,,12.24,put,165,3,1.1078,-0.8956,2.0451,1.4476,,4,153.18,06/1/17
AAPL,06/2/17,22.2,,21.6,,21.2,put,175,0,1.6598,-0.9324,0.9848,1.0444,,0,153.18,06/1/17
AAPL,06/2/17,7.1,,6.6,,6.82,put,160,0,0.6711,-0.8899,3.5069,1.5038,,186,153.18,06/1/17
AAPL,06/2/17,27.25,,26.6,,27.45,put,180,0,1.9753,-0.9349,0.8036,1.0142,,0,153.18,06/1/17
AAPL,06/2/17,9.75,,9.1,,9.75,put,162.5,5,0.9403,-0.8808,2.6488,1.5915,,30,153.18,06/1/17
AAPL,06/2/17,14.75,,14.05,,14.09,put,167.5,0,1.2667,-0.9064,1.6512,1.3364,,4,153.18,06/1/17
AAPL,06/2/17,37.1,,36.6,,37.25,put,190,1,2.2793,-0.9601,0.4723,0.6878,,3,153.18,06/1/17
AAPL,06/2/17,42.1,,41.6,,42.25,put,195,1,2.4975,-0.963,0.4049,0.6461,,9,153.18,06/1/17
AAPL,06/2/17,47.2,,46.6,,47.25,put,200,1,2.8557,-0.9568,0.4015,0.7326,,12,153.18,06/1/17
AAPL,06/9/17,0.02,,0,,0.04,put,119,0,0.6592,-0.0042,0.0824,0.2791,,1,153.18,06/1/17
